Этаж,Комнатность,Отделка,Вид из окон,Стоимость,Общая площадь (м.кв.),Высота потолка (м.),Срок сдачи
3,1к,Серый ключ,На улицу,7714000,"40,6","3,15",3 квартал 2027
3,1к,Серый ключ,На улицу,9532500,"61,5","3,15",3 квартал 2027
3,1к,Серый ключ,На улицу,9579000,"61,8","3,15",3 квартал 2027
3,2к,Серый ключ,На улицу,10168000,"65,6","3,15",3 квартал 2027
3,2к,Серый ключ,Во двор,9935800,"65,8","3,15",3 квартал 2027
4,1к,Серый ключ,Во двор,9369400,"59,3","3,15",3 квартал 2027
4,2к,Серый ключ,Во двор и на улицу,12898600,"90,2","3,15",3 квартал 2027
4,1к,Серый ключ,На улицу,7917000,"40,6","3,15",3 квартал 2027
4,1к,Серый ключ,На улицу,9517000,"61,4","3,15",3 квартал 2027
4,1к,Серый ключ,На улицу,9764400,"61,8","3,15",3 квартал 2027
4,2к,Серый ключ,На улицу,10545500,"65,5","3,15",3 квартал 2027
4,2к,Серый ключ,Во двор,10988600,"65,8","3,15",3 квартал 2027
5,1к,Серый ключ,Во двор,9488000,"59,3","3,15",3 квартал 2027
5,2к,Серый ключ,Во двор и на улицу,13183800,"90,3","3,15",3 квартал 2027
5,1к,Серый ключ,На улицу,7917000,"40,6","3,15",3 квартал 2027
5,1к,Серый ключ,На улицу,9946800,"61,4","3,15",3 квартал 2027
5,1к,Серый ключ,На улицу,10135200,"61,8","3,15",3 квартал 2027
5,2к,Серый ключ,Во двор,10857000,"65,8","3,15",3 квартал 2027
6,2к,Серый ключ,Во двор и на улицу,13364400,"90,3","3,15",3 квартал 2027
6,1к,Серый ключ,На улицу,8323000,"40,6","3,15",3 квартал 2027
6,1к,Серый ключ,На улицу,10209000,"61,5","3,15",3 квартал 2027
6,1к,Серый ключ,На улицу,10258800,"61,8","3,15",3 квартал 2027
6,2к,Серый ключ,На улицу,10807500,"65,5","3,15",3 квартал 2027
6,2к,Серый ключ,Во двор,10988600,"65,8","3,15",3 квартал 2027
7,2к,Серый ключ,Во двор и на улицу,13725600,"90,3","3,15",3 квартал 2027
7,1к,Серый ключ,На улицу,8647800,"40,6","3,15",3 квартал 2027
7,1к,Серый ключ,На улицу,10499400,"61,4","3,15",3 квартал 2027
7,1к,Серый ключ,На улицу,10320600,"61,8","3,15",3 квартал 2027
7,2к,Серый ключ,На улицу,11462500,"65,5","3,15",3 квартал 2027
7,2к,Серый ключ,Во двор,11383400,"65,8","3,15",3 квартал 2027
8,2к,Серый ключ,Во двор и на улицу,13996500,"90,3","3,15",3 квартал 2027
8,2к,Серый ключ,На улицу,11593500,"65,5","3,15",3 квартал 2027
8,2к,Серый ключ,Во двор,11790000,"65,8","3,15",3 квартал 2027
9,2к,Серый ключ,Во двор и на улицу,13560000,"90,4","3,15",3 квартал 2027
9,1к,Серый ключ,На улицу,10489000,"61,7","3,15",3 квартал 2027
9,2к,Серый ключ,На улицу,11790000,"65,5","3,15",3 квартал 2027
9,2к,Серый ключ,Во двор,11532500,"65,9","3,15",3 квартал 2027
10,1к,Серый ключ,Во двор,10140000,60,"3,15",3 квартал 2027
10,2к,Серый ключ,Во двор и на улицу,15357600,"94,8","3,15",3 квартал 2027
